City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Tigil,RU,2021-02-05 17:37:03,57.8,158.6667,-7.4,88,42,2.82
212,Nabire,ID,2021-02-05 17:37:03,-3.3667,135.4833,75.52,80,100,2.8
213,Pacific Grove,US,2021-02-05 17:36:47,36.6177,-121.9166,57.0,50,1,4.61
214,Hofn,IS,2021-02-05 17:37:03,64.2539,-15.2082,32.0,93,90,4.61
215,Whitley Bay,GB,2021-02-05 17:33:11,55.0397,-1.4471,41.0,93,90,17.27
216,Neepawa,CA,2021-02-05 17:37:04,50.2289,-99.4664,-0.4,71,75,14.97
217,Khatanga,RU,2021-02-05 17:37:04,71.9667,102.5,-29.29,79,58,8.34
218,Shizunai,JP,2021-02-05 17:37:04,42.3339,142.3669,30.0,98,97,5.55
219,Dryden,CA,2021-02-05 17:37:04,49.7833,-92.7503,-5.8,65,90,9.22
220,Mana,GF,2021-02-05 17:37:04,5.6592,-53.7767,80.22,77,88,13.24
221,Jega,NG,2021-02-05 17:37:04,12.2175,4.3792,86.45,14,11,9.24
222,Mildura,AU,2021-02-05 17:37:04,-34.2,142.15,64.4,59,5,10.36
223,Mount Isa,AU,2021-02-05 17:37:05,-20.7333,139.5,84.2,61,90,6.91
224,Magadan,RU,2021-02-05 17:37:05,59.5667,150.8,-4.23,83,99,14.83
225,Ancud,CL,2021-02-05 17:37:05,-41.8697,-73.8203,82.4,28,0,19.57
226,Dharchula,IN,2021-02-05 17:37:05,29.85,80.5333,43.09,64,91,3.78
227,Cape Town,ZA,2021-02-05 17:35:16,-33.9258,18.4232,73.0,73,20,23.02
228,Ulladulla,AU,2021-02-05 17:37:05,-35.35,150.4667,72.0,88,100,10.36
229,Ojinaga,MX,2021-02-05 17:37:05,29.5667,-104.4167,66.2,19,1,9.22
230,Cabo San Lucas,MX,2021-02-05 17:35:47,22.8909,-109.9124,82.0,41,1,5.75
231,Smoky Lake,CA,2021-02-05 17:37:06,54.1169,-112.4686,-13.0,77,100,4.61
232,Wanning,CN,2021-02-05 17:37:06,18.8003,110.3967,67.35,90,43,5.59
233,Znamenskoye,RU,2021-02-05 17:37:06,57.1281,73.8282,21.92,98,97,6.24
234,Mikuni,JP,2021-02-05 17:37:06,36.2171,136.1519,42.8,65,75,8.05
