City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Tauranga,NZ,-37.6861,176.1667,60.01,75,95,3.0,overcast clouds
266,Mangan,IN,27.5167,88.5333,49.5,49,95,4.03,overcast clouds
267,Qaqortoq,GL,60.7167,-46.0333,32.0,29,1,14.97,clear sky
268,Tongzi,CN,28.7829,105.0877,57.02,64,82,1.72,broken clouds
269,Kuryk,KZ,43.2,51.65,39.33,68,26,4.79,scattered clouds
270,Coquimbo,CL,-29.9533,-71.3436,62.6,77,90,5.75,overcast clouds
271,Guaruja,BR,-23.9931,-46.2564,82.0,65,75,7.0,broken clouds
272,Gold Coast,AU,-28.0,153.4333,75.0,88,100,1.14,overcast clouds
273,Gudibanda,IN,13.6694,77.6983,69.8,40,0,3.44,clear sky
274,Lindi,TZ,-10.0,39.7167,82.4,83,40,11.5,scattered clouds
275,Isabela,PH,6.7085,121.9711,77.0,94,75,2.3,broken clouds
276,Constitucion,CL,-35.3333,-72.4167,63.75,74,84,3.6,broken clouds
277,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,92.12,26,40,8.77,scattered clouds
278,Mehamn,NO,71.0357,27.8492,25.92,93,100,19.75,light snow
279,Samarai,PG,-10.6167,150.6667,82.49,77,100,6.17,overcast clouds
280,Teahupoo,PF,-17.8333,-149.2667,77.0,73,75,5.75,light rain
281,Oksfjord,NO,70.2396,22.3479,28.0,93,40,2.3,light snow
282,Ballina,AU,-28.8667,153.5667,71.6,88,91,2.51,light rain
283,Ko Samui,TH,9.5357,99.9357,80.62,76,28,9.42,scattered clouds
284,Broome,US,42.2506,-75.833,28.99,46,40,17.27,scattered clouds
285,Klaksvik,FO,62.2266,-6.589,35.6,64,40,18.41,scattered clouds
286,Willowmore,ZA,-33.2926,23.4895,84.31,32,0,16.13,clear sky
287,Shahdadkot,PK,27.8477,67.9055,63.0,27,0,0.34,clear sky
288,Port Hardy,CA,50.6996,-127.4199,44.6,100,90,9.22,light rain
289,Hobyo,SO,5.3505,48.5268,78.26,71,2,12.19,clear sky
290,Jurm,AF,36.8648,70.8342,42.44,56,100,0.27,overcast clouds
291,Kaitangata,NZ,-46.2817,169.8464,50.25,93,2,3.51,clear sky
292,Cananeia,BR,-25.0147,-47.9267,80.33,59,32,8.43,scattered clouds
293,Gao,ML,16.6362,1.637,91.89,11,32,10.98,scattered clouds
294,Prince Rupert,CA,54.3161,-130.3201,37.4,87,90,3.44,light rain
295,Adrar,MR,20.5022,-10.0711,71.4,22,37,14.29,scattered clouds
296,General Roca,AR,-39.0333,-67.5833,73.4,53,0,12.66,clear sky
297,Tabora,TZ,-5.0167,32.8,71.6,83,75,8.05,moderate rain
298,Faya,SA,18.3851,42.4509,55.4,71,40,11.5,scattered clouds
299,Olafsvik,IS,64.8945,-23.7142,35.71,79,100,16.87,light rain
300,Lujan,AR,-34.5703,-59.105,87.01,39,0,1.99,clear sky
301,Jiexiu,CN,37.0244,111.9125,41.85,54,41,4.68,scattered clouds
302,Naze,JP,28.3667,129.4833,61.07,84,98,7.47,overcast clouds
303,Lahuachaca,BO,-17.3667,-67.6667,55.15,52,95,0.94,overcast clouds
304,Zhifang,CN,30.35,114.3167,46.4,100,53,2.24,mist
305,Chitral,PK,35.8462,71.7858,42.67,47,0,6.06,clear sky
306,Nome,US,64.5011,-165.4064,14.0,85,90,4.61,overcast clouds
307,Chifeng,CN,42.2683,118.9636,12.09,93,100,3.53,overcast clouds
308,Kayes,ML,14.0,-11.0,95.25,10,64,11.05,broken clouds
309,Anloga,GH,5.7947,0.8973,91.4,62,0,12.66,clear sky
310,Port Moresby,PG,-9.4431,147.1797,77.0,94,40,9.22,scattered clouds
311,Oistins,BB,13.0667,-59.5333,84.2,54,40,20.71,scattered clouds
312,Iwanai,JP,42.9744,140.5089,25.23,93,96,3.8,overcast clouds
313,Makakilo City,US,21.3469,-158.0858,62.6,82,90,4.61,overcast clouds
314,Remiremont,FR,48.0175,6.5882,50.0,81,75,4.61,broken clouds
315,Alexandria,EG,31.2156,29.9553,64.4,63,20,8.05,few clouds
316,Alice Town,BS,25.7167,-79.3,75.4,83,0,17.83,clear sky
317,Axim,GH,4.8699,-2.2405,83.88,74,23,9.8,few clouds
318,Begoro,GH,6.3871,-0.3774,91.53,36,50,2.84,scattered clouds
319,Ngunguru,NZ,-35.6167,174.5,62.01,90,94,1.99,overcast clouds
320,Wattegama,LK,6.7989,81.4808,73.4,100,90,6.91,moderate rain
321,Calama,CL,-22.4667,-68.9333,73.4,25,0,6.91,clear sky
322,Masuda,JP,34.6667,131.85,48.2,61,1,4.61,clear sky
323,Port Lincoln,AU,-34.7333,135.8667,61.07,81,85,12.88,overcast clouds
324,Rio Gallegos,AR,-51.6226,-69.2181,57.2,35,20,18.41,few clouds
325,Nata,PA,8.3333,-80.5167,84.2,74,20,10.36,few clouds
326,Rio Grande,BR,-32.035,-52.0986,78.01,65,40,10.36,scattered clouds
327,Sibu,MY,2.3,111.8167,77.0,100,40,2.3,moderate rain
328,Abu Dhabi,AE,24.4667,54.3667,77.0,64,0,5.75,clear sky
329,Kita,ML,13.0349,-9.4895,100.04,8,87,4.41,overcast clouds
330,Padang,ID,-0.9492,100.3543,77.0,83,20,2.3,few clouds
331,Opuwo,NA,-18.0607,13.84,84.38,38,100,4.16,overcast clouds
332,Emmett,US,43.8735,-116.4993,36.0,78,82,2.86,broken clouds
333,Egersund,NO,58.4513,5.9997,26.6,46,0,8.05,clear sky
334,Along,IN,28.1667,94.7667,54.81,51,1,2.55,clear sky
335,Airai,TL,-8.9266,125.4092,61.0,97,100,1.97,overcast clouds
336,Whitehorse,CA,60.7161,-135.0538,-13.0,69,20,9.22,few clouds
337,Fairbanks,US,64.8378,-147.7164,-9.4,77,90,1.03,light snow
338,Sisimiut,GL,66.9395,-53.6735,19.49,75,0,14.29,clear sky
339,Katherine,AU,-14.4667,132.2667,77.0,94,75,9.22,broken clouds
340,Duldurga,RU,50.6761,113.5931,-6.16,87,53,3.51,broken clouds
341,Aksha,RU,50.2814,113.2867,-3.87,87,80,3.94,broken clouds
342,Panaba,MX,21.2833,-88.2667,83.5,64,12,13.8,few clouds
343,San Andres,CO,12.5847,-81.7006,84.2,79,40,12.66,scattered clouds
344,Tautira,PF,-17.7333,-149.15,77.0,73,75,5.75,light rain
345,Aklavik,CA,68.2191,-135.0107,-27.4,68,20,1.57,few clouds
346,Aksay,RU,47.26,39.87,24.01,74,0,6.71,clear sky
